model	arm	run	started	duration_s	rc	status	power_before	power_after	artifact	log
14b	default	1	2026-07-26T14:43:07-0400	99	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-01.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-01.log
14b	rollback	1	2026-07-26T14:44:46-0400	248	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-01.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-01.log
14b	default	2	2026-07-26T14:48:54-0400	101	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-02.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-02.log
14b	rollback	2	2026-07-26T14:50:35-0400	248	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-02.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-02.log
14b	default	3	2026-07-26T14:54:43-0400	101	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-03.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-03.log
14b	rollback	3	2026-07-26T14:56:24-0400	47	1	fault	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-03.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-03.log
14b	default	4	2026-07-26T14:57:11-0400	101	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-04.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-04.log
14b	rollback	4	2026-07-26T14:58:52-0400	248	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-04.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-04.log
14b	default	5	2026-07-26T15:03:00-0400	100	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-05.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-05.log
14b	rollback	5	2026-07-26T15:04:40-0400	247	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-05.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-05.log
14b	default	6	2026-07-26T15:08:47-0400	100	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-default-06.json	bench/14b-rollback-path-fault-20260726/phase0/14b-default-06.log
14b	rollback	6	2026-07-26T15:10:27-0400	248	0	success	auto	auto	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-06.json	bench/14b-rollback-path-fault-20260726/phase0/14b-rollback-06.log
