AMDDevice: opening 0 with target (11, 0, 0) arch gfx1100
opened device AMD from pid:21213
opened device DISK:/home/ubuntu/models/Qwen3-14B-Q4_K_M.gguf from pid:21213
*** AMD        1 copy    8.38 GB,     AMD <- DISK:/h            arg  2 mem   9.00 GB tm   4725.51ms/  4725.51ms (      0 GFLOPS    2|2      GB/s) 
opened device PYTHON from pid:21213
scheduled     2 kernels in    12.84 ms | CACHE MISS 6ad19580 |   29292 uops in cache | <frozen runpy>:88
*** DISK:/h    2 view   14.06 MB @ 1084656512                   arg  2 mem   9.00 GB tm      4.32us/  4725.51ms (      0 GFLOPS    0|0      GB/s) 
*** AMD        3 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.02 GB tm   8744.26us/  4734.26ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.36 ms | CACHE MISS 580ce759 |   29299 uops in cache | <frozen runpy>:88
*** DISK:/h    4 view   14.06 MB @ 1099402112                   arg  2 mem   9.02 GB tm      2.47us/  4734.26ms (      0 GFLOPS    0|0      GB/s) 
*** AMD        5 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.03 GB tm   8636.69us/  4742.90ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.77 ms | CACHE MISS d97ad7e2 |   29318 uops in cache | <frozen runpy>:88
*** DISK:/h    6 view   47.81 MB @ 1191562624                   arg  2 mem   9.03 GB tm      2.09us/  4742.90ms (      0 GFLOPS    0|0      GB/s) 
*** AMD        7 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.08 GB tm     26.90ms/  4769.80ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.35 ms | CACHE MISS ebeac6c1 |   29325 uops in cache | <frozen runpy>:88
*** DISK:/h    8 view   47.81 MB @ 1241718144                   arg  2 mem   9.08 GB tm      2.12us/  4769.80ms (      0 GFLOPS    0|0      GB/s) 
*** AMD        9 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.13 GB tm     26.90ms/  4796.70ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 10291004 |   29332 uops in cache | <frozen runpy>:88
*** DISK:/h   10 view   14.06 MB @ 1294823296                   arg  2 mem   9.13 GB tm      2.13us/  4796.70ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       11 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.15 GB tm   8645.68us/  4805.35ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.30 ms | CACHE MISS 1fc9ceed |   29339 uops in cache | <frozen runpy>:88
*** DISK:/h   12 view   14.06 MB @ 1309568896                   arg  2 mem   9.15 GB tm      2.06us/  4805.35ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       13 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.16 GB tm   8578.94us/  4813.93ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 7414fd71 |   29346 uops in cache | <frozen runpy>:88
*** DISK:/h   14 view   47.81 MB @ 1401729408                   arg  2 mem   9.16 GB tm      2.03us/  4813.93ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       15 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.21 GB tm     27.25ms/  4841.18ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.33 ms | CACHE MISS d8b950ca |   29353 uops in cache | <frozen runpy>:88
*** DISK:/h   16 view   47.81 MB @ 1451884928                   arg  2 mem   9.21 GB tm      2.22us/  4841.18ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       17 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.26 GB tm     26.78ms/  4867.96ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 90ee44d4 |   29360 uops in cache | <frozen runpy>:88
*** DISK:/h   18 view   14.06 MB @ 1504990080                   arg  2 mem   9.26 GB tm      2.12us/  4867.96ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       19 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.28 GB tm   8663.37us/  4876.63ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 41e9aaea |   29367 uops in cache | <frozen runpy>:88
*** DISK:/h   20 view   14.06 MB @ 1519735680                   arg  2 mem   9.28 GB tm      2.05us/  4876.63ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       21 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.29 GB tm   8581.13us/  4885.21ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.28 ms | CACHE MISS 56e8576d |   29374 uops in cache | <frozen runpy>:88
*** DISK:/h   22 view   47.81 MB @ 1611896192                   arg  2 mem   9.29 GB tm      1.99us/  4885.21ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       23 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.34 GB tm     26.89ms/  4912.10ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.30 ms | CACHE MISS 3cfaa737 |   29381 uops in cache | <frozen runpy>:88
*** DISK:/h   24 view   47.81 MB @ 1662051712                   arg  2 mem   9.34 GB tm      2.01us/  4912.10ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       25 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.39 GB tm     26.87ms/  4938.97ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 1a60eaa7 |   29388 uops in cache | <frozen runpy>:88
*** DISK:/h   26 view   14.06 MB @ 1715156864                   arg  2 mem   9.39 GB tm      2.12us/  4938.97ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       27 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.41 GB tm   8653.19us/  4947.62ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.30 ms | CACHE MISS 67012e46 |   29395 uops in cache | <frozen runpy>:88
*** DISK:/h   28 view   14.06 MB @ 1729902464                   arg  2 mem   9.41 GB tm      2.12us/  4947.62ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       29 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.42 GB tm   8621.82us/  4956.24ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS aac88753 |   29402 uops in cache | <frozen runpy>:88
*** DISK:/h   30 view   47.81 MB @ 1822062976                   arg  2 mem   9.42 GB tm      2.02us/  4956.25ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       31 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.47 GB tm     26.92ms/  4983.17ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 55625674 |   29409 uops in cache | <frozen runpy>:88
*** DISK:/h   32 view   47.81 MB @ 1872218496                   arg  2 mem   9.47 GB tm      2.05us/  4983.17ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       33 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.52 GB tm     26.84ms/  5010.01ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS f5b4afdc |   29416 uops in cache | <frozen runpy>:88
*** DISK:/h   34 view   14.06 MB @ 1925323648                   arg  2 mem   9.52 GB tm      1.91us/  5010.01ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       35 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.54 GB tm   8619.76us/  5018.63ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 4f78d1d7 |   29423 uops in cache | <frozen runpy>:88
*** DISK:/h   36 view   14.06 MB @ 1940069248                   arg  2 mem   9.54 GB tm      2.05us/  5018.63ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       37 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.55 GB tm   8622.68us/  5027.25ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 3bc3fba2 |   29430 uops in cache | <frozen runpy>:88
*** DISK:/h   38 view   47.81 MB @ 2032229760                   arg  2 mem   9.55 GB tm      2.06us/  5027.26ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       39 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.60 GB tm     26.92ms/  5054.17ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS a3b6448e |   29437 uops in cache | <frozen runpy>:88
*** DISK:/h   40 view   47.81 MB @ 2082385280                   arg  2 mem   9.60 GB tm      2.10us/  5054.18ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       41 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.65 GB tm     26.96ms/  5081.14ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.30 ms | CACHE MISS 3ae266e4 |   29444 uops in cache | <frozen runpy>:88
*** DISK:/h   42 view   14.06 MB @ 2135490432                   arg  2 mem   9.65 GB tm      2.05us/  5081.14ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       43 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.67 GB tm   8747.84us/  5089.89ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS e0bfa475 |   29451 uops in cache | <frozen runpy>:88
*** DISK:/h   44 view   14.06 MB @ 2150236032                   arg  2 mem   9.67 GB tm      1.99us/  5089.89ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       45 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.68 GB tm   9510.94us/  5099.40ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.27 ms | CACHE MISS 2665c493 |   29458 uops in cache | <frozen runpy>:88
*** DISK:/h   46 view   47.81 MB @ 2167931264                   arg  2 mem   9.68 GB tm      1.93us/  5099.40ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       47 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.73 GB tm     26.82ms/  5126.22ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.28 ms | CACHE MISS 46910ca1 |   29465 uops in cache | <frozen runpy>:88
*** DISK:/h   48 view   47.81 MB @ 2218066304                   arg  2 mem   9.73 GB tm      2.07us/  5126.22ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       49 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.78 GB tm     26.86ms/  5153.09ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 77e892a3 |   29472 uops in cache | <frozen runpy>:88
*** DISK:/h   50 view   47.81 MB @ 2268221824                   arg  2 mem   9.78 GB tm      2.03us/  5153.09ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       51 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.83 GB tm     26.76ms/  5179.85ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS a8fc8b22 |   29479 uops in cache | <frozen runpy>:88
*** DISK:/h   52 view   14.06 MB @ 2321326976                   arg  2 mem   9.83 GB tm      1.97us/  5179.85ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       53 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.85 GB tm   8630.31us/  5188.48ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS 7d13f257 |   29486 uops in cache | <frozen runpy>:88
*** DISK:/h   54 view   14.06 MB @ 2336072576                   arg  2 mem   9.85 GB tm      2.00us/  5188.48ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       55 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.86 GB tm   8564.28us/  5197.05ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS 9830f613 |   29493 uops in cache | <frozen runpy>:88
*** DISK:/h   56 view   47.81 MB @ 2353767808                   arg  2 mem   9.86 GB tm      2.03us/  5197.05ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       57 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.91 GB tm     27.03ms/  5224.08ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS ad36983b |   29500 uops in cache | <frozen runpy>:88
*** DISK:/h   58 view   47.81 MB @ 2403902848                   arg  2 mem   9.91 GB tm      2.11us/  5224.08ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       59 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.96 GB tm     26.76ms/  5250.84ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS dd8db75d |   29507 uops in cache | <frozen runpy>:88
*** DISK:/h   60 view   47.81 MB @ 2454058368                   arg  2 mem   9.96 GB tm      2.05us/  5250.84ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       61 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.01 GB tm     26.99ms/  5277.83ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 09557f0d |   29514 uops in cache | <frozen runpy>:88
*** DISK:/h   62 view   14.06 MB @ 2507163520                   arg  2 mem  10.01 GB tm      1.99us/  5277.83ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       63 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.03 GB tm   8567.36us/  5286.40ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.30 ms | CACHE MISS 16d4f820 |   29521 uops in cache | <frozen runpy>:88
*** DISK:/h   64 view   14.06 MB @ 2521909120                   arg  2 mem  10.03 GB tm      2.00us/  5286.40ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       65 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.04 GB tm   8549.27us/  5294.95ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 9ddbf8a9 |   29528 uops in cache | <frozen runpy>:88
*** DISK:/h   66 view   47.81 MB @ 2614069632                   arg  2 mem  10.04 GB tm      2.15us/  5294.95ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       67 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.09 GB tm     27.07ms/  5322.02ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.29 ms | CACHE MISS 1afb9d9c |   29535 uops in cache | <frozen runpy>:88
*** DISK:/h   68 view   47.81 MB @ 2664225152                   arg  2 mem  10.09 GB tm      1.96us/  5322.03ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       69 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.14 GB tm     26.93ms/  5348.96ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.32 ms | CACHE MISS c4e17c94 |   29542 uops in cache | <frozen runpy>:88
*** DISK:/h   70 view   14.06 MB @ 2717330304                   arg  2 mem  10.14 GB tm      2.26us/  5348.96ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       71 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.15 GB tm   8624.17us/  5357.59ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.31 ms | CACHE MISS 183c8b1c |   29549 uops in cache | <frozen runpy>:88
*** DISK:/h   72 view   14.06 MB @ 2732075904                   arg  2 mem  10.15 GB tm      2.01us/  5357.59ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       73 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem  10.17 GB tm   8627.10us/  5366.21ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.28 ms | CACHE MISS 00ca1b66 |   29556 uops in cache | <frozen runpy>:88
*** DISK:/h   74 view   47.81 MB @ 2749771136                   arg  2 mem  10.17 GB tm      1.99us/  5366.22ms (      0 GFLOPS    0|0      GB/s) 
*** AMD       75 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem  10.22 GB tm     26.82ms/  5393.04ms (      0 GFLOPS    2|2      GB/s) 
scheduled     2 kernels in     2.27 ms | CACHE MISS 13e88e2b |   29563 uops in cache | <frozen runpy>:88
