AMDDevice: opening 0 with target (11, 0, 0) arch gfx1100
opened device AMD from pid:86789
opened device DISK:/home/ubuntu/models/Qwen3-14B-Q4_K_M.gguf from pid:86789
*** AMD        1 copy    8.38 GB,     AMD <- DISK:/h            arg  2 mem   9.00 GB tm   4867.61ms/  4867.61ms (      0 GFLOPS    2|2      GB/s)
opened device PYTHON from pid:86789
scheduled     2 kernels in    12.76 ms | CACHE MISS 6ad19580 |   29292 uops in cache | <frozen runpy>:88
*** DISK:/h    2 view   14.06 MB @ 1084656512                   arg  2 mem   9.00 GB tm      4.12us/  4867.61ms (      0 GFLOPS    0|0      GB/s)
*** AMD        3 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.02 GB tm   8831.16us/  4876.44ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.36 ms | CACHE MISS 580ce759 |   29299 uops in cache | <frozen runpy>:88
*** DISK:/h    4 view   14.06 MB @ 1099402112                   arg  2 mem   9.02 GB tm      2.34us/  4876.44ms (      0 GFLOPS    0|0      GB/s)
*** AMD        5 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.03 GB tm   8664.86us/  4885.11ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.76 ms | CACHE MISS d97ad7e2 |   29318 uops in cache | <frozen runpy>:88
*** DISK:/h    6 view   47.81 MB @ 1191562624                   arg  2 mem   9.03 GB tm      2.09us/  4885.11ms (      0 GFLOPS    0|0      GB/s)
*** AMD        7 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.08 GB tm     27.07ms/  4912.18ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.29 ms | CACHE MISS ebeac6c1 |   29325 uops in cache | <frozen runpy>:88
*** DISK:/h    8 view   47.81 MB @ 1241718144                   arg  2 mem   9.08 GB tm      2.01us/  4912.18ms (      0 GFLOPS    0|0      GB/s)
*** AMD        9 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.13 GB tm     27.05ms/  4939.23ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.31 ms | CACHE MISS 10291004 |   29332 uops in cache | <frozen runpy>:88
*** DISK:/h   10 view   14.06 MB @ 1294823296                   arg  2 mem   9.13 GB tm      2.17us/  4939.23ms (      0 GFLOPS    0|0      GB/s)
*** AMD       11 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.15 GB tm   8754.20us/  4947.98ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS 1fc9ceed |   29339 uops in cache | <frozen runpy>:88
*** DISK:/h   12 view   14.06 MB @ 1309568896                   arg  2 mem   9.15 GB tm      2.18us/  4947.99ms (      0 GFLOPS    0|0      GB/s)
*** AMD       13 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.16 GB tm   8699.71us/  4956.69ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.27 ms | CACHE MISS 7414fd71 |   29346 uops in cache | <frozen runpy>:88
*** DISK:/h   14 view   47.81 MB @ 1401729408                   arg  2 mem   9.16 GB tm      2.01us/  4956.69ms (      0 GFLOPS    0|0      GB/s)
*** AMD       15 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.21 GB tm     27.48ms/  4984.17ms (      0 GFLOPS    2|2      GB/s)
