AMDDevice: opening 0 with target (11, 0, 0) arch gfx1100
opened device AMD from pid:86864
opened device DISK:/home/ubuntu/models/Qwen3-14B-Q4_K_M.gguf from pid:86864
*** AMD        1 copy    8.38 GB,     AMD <- DISK:/h            arg  2 mem   9.00 GB tm   4829.33ms/  4829.33ms (      0 GFLOPS    2|2      GB/s)
opened device PYTHON from pid:86864
scheduled     2 kernels in    12.97 ms | CACHE MISS 6ad19580 |   29292 uops in cache | <frozen runpy>:88
*** DISK:/h    2 view   14.06 MB @ 1084656512                   arg  2 mem   9.00 GB tm      4.21us/  4829.34ms (      0 GFLOPS    0|0      GB/s)
*** AMD        3 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.02 GB tm   8834.15us/  4838.17ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.41 ms | CACHE MISS 580ce759 |   29299 uops in cache | <frozen runpy>:88
*** DISK:/h    4 view   14.06 MB @ 1099402112                   arg  2 mem   9.02 GB tm      6.75us/  4838.18ms (      0 GFLOPS    0|0      GB/s)
*** AMD        5 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.03 GB tm   8708.57us/  4846.88ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.84 ms | CACHE MISS d97ad7e2 |   29318 uops in cache | <frozen runpy>:88
*** DISK:/h    6 view   47.81 MB @ 1191562624                   arg  2 mem   9.03 GB tm      2.13us/  4846.89ms (      0 GFLOPS    0|0      GB/s)
*** AMD        7 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.08 GB tm     27.14ms/  4874.03ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS ebeac6c1 |   29325 uops in cache | <frozen runpy>:88
*** DISK:/h    8 view   47.81 MB @ 1241718144                   arg  2 mem   9.08 GB tm      2.01us/  4874.03ms (      0 GFLOPS    0|0      GB/s)
*** AMD        9 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.13 GB tm     27.05ms/  4901.08ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS 10291004 |   29332 uops in cache | <frozen runpy>:88
*** DISK:/h   10 view   14.06 MB @ 1294823296                   arg  2 mem   9.13 GB tm      2.09us/  4901.08ms (      0 GFLOPS    0|0      GB/s)
*** AMD       11 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.15 GB tm   8738.80us/  4909.82ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.31 ms | CACHE MISS 1fc9ceed |   29339 uops in cache | <frozen runpy>:88
*** DISK:/h   12 view   14.06 MB @ 1309568896                   arg  2 mem   9.15 GB tm      2.19us/  4909.82ms (      0 GFLOPS    0|0      GB/s)
*** AMD       13 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.16 GB tm   8701.87us/  4918.52ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS 7414fd71 |   29346 uops in cache | <frozen runpy>:88
*** DISK:/h   14 view   47.81 MB @ 1401729408                   arg  2 mem   9.16 GB tm      2.12us/  4918.52ms (      0 GFLOPS    0|0      GB/s)
*** AMD       15 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.21 GB tm     26.99ms/  4945.51ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.31 ms | CACHE MISS d8b950ca |   29353 uops in cache | <frozen runpy>:88
*** DISK:/h   16 view   47.81 MB @ 1451884928                   arg  2 mem   9.21 GB tm      2.04us/  4945.51ms (      0 GFLOPS    0|0      GB/s)
*** AMD       17 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.26 GB tm     27.10ms/  4972.61ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.31 ms | CACHE MISS 90ee44d4 |   29360 uops in cache | <frozen runpy>:88
*** DISK:/h   18 view   14.06 MB @ 1504990080                   arg  2 mem   9.26 GB tm      2.08us/  4972.61ms (      0 GFLOPS    0|0      GB/s)
*** AMD       19 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.28 GB tm   8803.46us/  4981.42ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS 41e9aaea |   29367 uops in cache | <frozen runpy>:88
*** DISK:/h   20 view   14.06 MB @ 1519735680                   arg  2 mem   9.28 GB tm      2.11us/  4981.42ms (      0 GFLOPS    0|0      GB/s)
*** AMD       21 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.29 GB tm   8675.74us/  4990.09ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.30 ms | CACHE MISS 56e8576d |   29374 uops in cache | <frozen runpy>:88
*** DISK:/h   22 view   47.81 MB @ 1611896192                   arg  2 mem   9.29 GB tm      2.13us/  4990.10ms (      0 GFLOPS    0|0      GB/s)
*** AMD       23 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.34 GB tm     26.97ms/  5017.06ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS 3cfaa737 |   29381 uops in cache | <frozen runpy>:88
*** DISK:/h   24 view   47.81 MB @ 1662051712                   arg  2 mem   9.34 GB tm      2.03us/  5017.07ms (      0 GFLOPS    0|0      GB/s)
*** AMD       25 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.39 GB tm     27.13ms/  5044.20ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.33 ms | CACHE MISS 1a60eaa7 |   29388 uops in cache | <frozen runpy>:88
*** DISK:/h   26 view   14.06 MB @ 1715156864                   arg  2 mem   9.39 GB tm      2.02us/  5044.20ms (      0 GFLOPS    0|0      GB/s)
*** AMD       27 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.41 GB tm   8801.49us/  5053.00ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.31 ms | CACHE MISS 67012e46 |   29395 uops in cache | <frozen runpy>:88
*** DISK:/h   28 view   14.06 MB @ 1729902464                   arg  2 mem   9.41 GB tm      1.98us/  5053.00ms (      0 GFLOPS    0|0      GB/s)
*** AMD       29 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.42 GB tm   8732.39us/  5061.73ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.33 ms | CACHE MISS aac88753 |   29402 uops in cache | <frozen runpy>:88
*** DISK:/h   30 view   47.81 MB @ 1822062976                   arg  2 mem   9.42 GB tm      2.06us/  5061.74ms (      0 GFLOPS    0|0      GB/s)
*** AMD       31 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.47 GB tm     27.10ms/  5088.83ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.39 ms | CACHE MISS 55625674 |   29409 uops in cache | <frozen runpy>:88
*** DISK:/h   32 view   47.81 MB @ 1872218496                   arg  2 mem   9.47 GB tm      2.05us/  5088.83ms (      0 GFLOPS    0|0      GB/s)
*** AMD       33 copy   47.81 MB,     AMD <- DISK:/h            arg  2 mem   9.52 GB tm     26.91ms/  5115.74ms (      0 GFLOPS    2|2      GB/s)
scheduled     2 kernels in     2.34 ms | CACHE MISS f5b4afdc |   29416 uops in cache | <frozen runpy>:88
*** DISK:/h   34 view   14.06 MB @ 1925323648                   arg  2 mem   9.52 GB tm      2.00us/  5115.75ms (      0 GFLOPS    0|0      GB/s)
*** AMD       35 copy   14.06 MB,     AMD <- DISK:/h            arg  2 mem   9.54 GB tm   8812.76us/  5124.56ms (      0 GFLOPS    2|2      GB/s)
