QK_GENERATED_POLICY_DEBUG loaded=bench/qk-policy-cap-20260612/32b-1536mb/policy.json entries=449
Q4K_PRIMITIVE_DEBUG installed=112 skipped_total=595 not_q4_k=322 policy_fused=272 policy_missing=1
Q4K_PRIMITIVE_DEBUG installed_linears blk.0.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.1.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.2.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.3.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.4.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.5.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.6.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.7.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] ...+104
Q6K_PRIMITIVE_DEBUG installed=32 skipped_total=675 not_q6_k=642 policy_fused=33
Q6K_PRIMITIVE_DEBUG installed_linears blk.0.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.1.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.2.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.3.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.4.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.5.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.6.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.7.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] ...+24
using model "Qwen3 32B Awq Compatible Instruct" with 19,762,149,024 bytes and 32,762,123,264 params
scheduled     3 kernels in    12.60 ms | CACHE MISS 50c9ac64 |   47654 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   365.42 ms | CACHE MISS fe198419 |   69856 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   258.18 ms | CACHE MISS 019a16cd |   71234 uops in cache | <frozen runpy>:88
scheduled   977 kernels in  4392.97 ms | CACHE MISS 4063148b |   79485 uops in cache | <frozen runpy>:88
memory reduced from 7359.63 MB -> 70.00 MB, 1928 -> 1 bufs
scheduled    20 kernels in   223.60 ms | CACHE MISS fdea76a4 |  100559 uops in cache | <frozen runpy>:88
scheduled    21 kernels in   157.58 ms | CACHE MISS 19ae0c46 |  101068 uops in cache | <frozen runpy>:88
scheduled    20 kernels in   166.02 ms | CACHE MISS 2fb5afe6 |  101637 uops in cache | <frozen runpy>:88
scheduled    74 kernels in   141.37 ms | CACHE MISS e3e5204f |  102255 uops in cache | <frozen runpy>:88
memory reduced from 157.04 MB -> 2.16 MB, 1030 -> 1 bufs
scheduled     3 kernels in     1.55 ms |  cache hit 50c9ac64 |  122347 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   185.72 ms | CACHE MISS a35eabb2 |  125850 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   173.93 ms | CACHE MISS 802b4745 |  125875 uops in cache | <frozen runpy>:88
scheduled    74 kernels in   190.51 ms | CACHE MISS 5aa44a14 |  126268 uops in cache | <frozen runpy>:88
JIT captured 1 linears with 2 inputs
memory reduced from 7402.72 MB -> 71.26 MB, 1544 -> 1 bufs
scheduled    20 kernels in     3.14 ms |  cache hit fdea76a4 |  129810 uops in cache | <frozen runpy>:88
scheduled    21 kernels in     1.84 ms |  cache hit 19ae0c46 |  129826 uops in cache | <frozen runpy>:88
scheduled    20 kernels in     1.27 ms |  cache hit 2fb5afe6 |  129874 uops in cache | <frozen runpy>:88
scheduled    74 kernels in     3.91 ms |  cache hit e3e5204f |  129967 uops in cache | <frozen runpy>:88
JIT captured 1 linears with 2 inputs
memory reduced from 161.47 MB -> 3.43 MB, 1240 -> 1 bufs
319.62 ms,   3.13 tok/s,   62.19 GB/s, 19876/23586 MB  --  !ll
233.30 ms,   4.29 tok/s,   83.18 GB/s, 19404/23586 MB  --  !ll\n
231.88 ms,   4.31 tok/s,   83.70 GB/s, 19409/23586 MB  --  !ll\nThe
230.53 ms,   4.34 tok/s,   84.22 GB/s, 19414/23586 MB  --  !ll\nThe sum
237.54 ms,   4.21 tok/s,   81.75 GB/s, 19419/23586 MB  --  !ll\nThe sum of
230.58 ms,   4.34 tok/s,   84.24 GB/s, 19424/23586 MB  --  !ll\nThe sum of the
242.13 ms,   4.13 tok/s,   80.24 GB/s, 19429/23586 MB  --  !ll\nThe sum of the first
234.25 ms,   4.27 tok/s,   82.96 GB/s, 19434/23586 MB  --  !ll\nThe sum of the first $
234.19 ms,   4.27 tok/s,   83.01 GB/s, 19439/23586 MB  --  !ll\nThe sum of the first $n
231.72 ms,   4.32 tok/s,   83.91 GB/s, 19444/23586 MB  --  !ll\nThe sum of the first $n$
230.95 ms,   4.33 tok/s,   84.21 GB/s, 19449/23586 MB  --  !ll\nThe sum of the first $n$ terms
243.66 ms,   4.10 tok/s,   79.84 GB/s, 19453/23586 MB  --  !ll\nThe sum of the first $n$ terms of
233.03 ms,   4.29 tok/s,   83.50 GB/s, 19458/23586 MB  --  !ll\nThe sum of the first $n$ terms of an
231.06 ms,   4.33 tok/s,   84.24 GB/s, 19463/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic
232.46 ms,   4.30 tok/s,   83.75 GB/s, 19468/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence
230.32 ms,   4.34 tok/s,   84.55 GB/s, 19473/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is
234.78 ms,   4.26 tok/s,   82.97 GB/s, 19478/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is
231.27 ms,   4.32 tok/s,   84.25 GB/s, 19483/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 1
231.16 ms,   4.33 tok/s,   84.31 GB/s, 19488/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 10
231.41 ms,   4.32 tok/s,   84.24 GB/s, 19493/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100
235.95 ms,   4.24 tok/s,   82.64 GB/s, 19498/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100,
233.61 ms,   4.28 tok/s,   83.49 GB/s, 19503/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and
231.25 ms,   4.32 tok/s,   84.36 GB/s, 19508/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the
231.07 ms,   4.33 tok/s,   84.44 GB/s, 19512/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum
231.09 ms,   4.33 tok/s,   84.46 GB/s, 19517/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of
235.17 ms,   4.25 tok/s,   83.01 GB/s, 19522/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the
231.28 ms,   4.32 tok/s,   84.43 GB/s, 19527/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first
231.37 ms,   4.32 tok/s,   84.42 GB/s, 19532/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $
235.10 ms,   4.25 tok/s,   83.10 GB/s, 19537/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2
244.43 ms,   4.09 tok/s,   79.95 GB/s, 19542/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n
231.67 ms,   4.32 tok/s,   84.38 GB/s, 19547/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$
259.76 ms,   3.85 tok/s,   75.27 GB/s, 19552/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms
346.15 ms,   2.89 tok/s,   56.50 GB/s, 19557/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is
331.21 ms,   3.02 tok/s,   59.06 GB/s, 19562/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is
240.60 ms,   4.16 tok/s,   81.33 GB/s, 19566/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1
238.21 ms,   4.20 tok/s,   82.16 GB/s, 19571/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 10
231.45 ms,   4.32 tok/s,   84.58 GB/s, 19576/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 100
232.36 ms,   4.30 tok/s,   84.27 GB/s, 19581/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000
284.66 ms,   3.51 tok/s,   68.81 GB/s, 19586/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000.
233.45 ms,   4.28 tok/s,   83.92 GB/s, 19591/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What
241.67 ms,   4.14 tok/s,   81.09 GB/s, 19596/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is
231.98 ms,   4.31 tok/s,   84.49 GB/s, 19601/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the
231.68 ms,   4.32 tok/s,   84.63 GB/s, 19606/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum
231.99 ms,   4.31 tok/s,   84.53 GB/s, 19611/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of
232.50 ms,   4.30 tok/s,   84.37 GB/s, 19616/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the
234.71 ms,   4.26 tok/s,   83.60 GB/s, 19621/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first
248.86 ms,   4.02 tok/s,   78.86 GB/s, 19625/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $
233.37 ms,   4.29 tok/s,   84.12 GB/s, 19630/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3
232.40 ms,   4.30 tok/s,   84.49 GB/s, 19635/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3n
246.39 ms,   4.06 tok/s,   79.71 GB/s, 19640/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3n$
293.01 ms,   3.41 tok/s,   67.05 GB/s, 19645/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3n$ terms
232.23 ms,   4.31 tok/s,   84.62 GB/s, 19650/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3n$ terms?\n\n
232.13 ms,   4.31 tok/s,   84.67 GB/s, 19655/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100, and the sum of the first $2n$ terms is 1000. What is the sum of the first $3n$ terms?\n\n<|im_start|>
