Processing [runs/prof_prefill10k.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.7,198510954,59,3364592.4,3160282.0,1768431,4216801,693188.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Params)
27.0,99676508,109,914463.4,704677.0,321987,1897935,516502.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_tn_align8>(T1::Params)
6.4,23553412,8,2944176.5,2938872.5,1901552,3996577,1113355.3,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
4.3,15841314,42,377174.1,373843.0,125697,634374,252483.9,_chunk_scan_fwd_kernel
1.4,5308234,42,126386.5,123521.0,28000,225442,96318.5,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_silu_view_0
1.3,4957326,42,118031.6,115537.5,34752,204898,83338.6,_chunk_state_fwd_kernel
1.3,4930316,42,117388.5,115776.5,24224,210370,91944.8,_causal_conv1d_fwd_kernel
0.9,3464667,42,82492.1,79153.0,12352,163457,70892.8,_state_passing_fwd_kernel
0.9,3255932,26,125228.2,124737.0,16480,234722,110751.8,triton_poi_fused_pow_relu_2
0.5,1788532,42,42584.1,37809.0,10496,91105,32972.6,triton_red_fused_fused_add_rms_norm_1
0.5,1712815,26,65877.5,53264.5,9984,124897,55550.9,triton_red_fused_fused_add_rms_norm_3
0.4,1582029,42,37667.4,37153.0,11616,64480,24434.6,_bmm_chunk_fwd_kernel
0.3,1061129,2,530564.5,530564.5,524421,536708,8688.2,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.3,1054504,8,131813.0,131521.0,27488,237122,111460.8,triton_poi_fused_pow_relu_1
0.2,593668,65,9133.4,9344.0,2112,10784,1359.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,534948,8,66868.5,66720.5,11232,123841,58820.2,triton_red_fused_fused_add_rms_norm_2
0.1,303267,8,37908.4,37168.5,9920,69472,29720.6,triton_red_fused_fused_add_rms_norm_0
0.1,279044,42,6643.9,6672.5,6112,6944,181.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,214497,42,5107.1,5072.0,2496,7744,2373.3,_chunk_cumsum_fwd_kernel
0.1,200001,8,25000.1,24496.0,7968,43137,18107.6,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.0,164641,2,82320.5,82320.5,82304,82337,23.3,_topk_log_softmax_kernel
0.0,130082,105,1238.9,1216.0,960,1632,130.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,124481,2,62240.5,62240.5,14432,110049,67611.4,triton_red_fused__to_copy_embedding_rms_norm_0
0.0,74816,2,37408.0,37408.0,10016,64800,38738.1,_zero_kv_blocks_kernel
0.0,59712,21,2843.4,2816.0,2784,3104,70.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(bool, unsigned int, unsigned int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,26496,2,13248.0,13248.0,13120,13376,181.0,_gumbel_sample_kernel
0.0,20256,2,10128.0,10128.0,10112,10144,22.6,_ranks_kernel
0.0,20192,5,4038.4,2336.0,2016,10944,3869.2,_apply_write_kernel
0.0,13760,21,655.2,640.0,608,736,31.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,13248,28,473.1,448.0,416,704,68.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,12640,2,6320.0,6320.0,3776,8864,3597.8,_prepare_prefill_inputs_kernel
0.0,12384,12,1032.0,1088.0,768,1312,154.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,11456,2,5728.0,5728.0,2976,8480,3891.9,_compute_slot_mappings_kernel
0.0,11456,2,5728.0,5728.0,5152,6304,814.6,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,10176,4,2544.0,2544.0,2400,2688,149.0,"at::native::mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)"
