==PROF== Connected to process 2867128 (/tmp/nv_q4k_o_lookahead__9nr5dcv/gate)
fixture=0 finite=1 mismatched_words=0 max_abs=0
fixture=1 finite=1 mismatched_words=0 max_abs=0
fixture=2 finite=1 mismatched_words=0 max_abs=0
==PROF== Disconnected from process 2867128
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","9469440"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","9469440"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","57.20"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","9408"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","43"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","lts__t_bytes.sum","byte","11346400"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_op_read_hit_rate.pct","%","14.53"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__inst_executed.sum","inst","4800512"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","34.28"
"0","2867128","gate","127.0.0.1","q4k_g3_lanemap_gemv_vec_epi_resadd_4096_4096","1","7","(32, 1, 1)","(4096, 1, 1)","0","12.0","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","73.86"

STDERR
